StudentId,Name,City,State,Zip,Course,Score,
S001,Alice Johnson,Springfield,IL,62701,Math,92,
S002,Bob Smith,Rivertown,NY,10001,Physics,78,
S003,Carol Lee,Hillview,CA,94000,Chemistry,95,
S004,Daniel Kim,Orlando,FL,32801,Biology,88,
S005,Eva Brown,Austin,TX,73301,History,81,
S006,Frank Green,Denver,CO,80201,Math,85,
S007,Grace Davis,Seattle,WA,98101,English,90,
S008,Henry Clark,Boston,MA,02101,Physics,72,
S009,Irene Lewis,Portland,OR,97201,Math,89,
S010,Jack Walker,Atlanta,GA,30301,Chemistry,83,
S011,Karen Hall,Columbus,OH,43004,Biology,91,
S012,Liam Young,Detroit,MI,48201,History,87,
S013,Mia Allen,San Diego,CA,92101,Physics,79,
S014,Noah Wright,Newark,NJ,07101,Math,93,
S015,Olivia Scott,Richmond,VA,23173,English,82,
S016,Paul Adams,Buffalo,NY,14201,Chemistry,77,
S017,Quinn Baker,Raleigh,NC,27601,Biology,90,
S018,Rachel Gonzalez,Tampa,FL,33601,Math,88,
S019,Samuel Perez,Phoenix,AZ,85001,Physics,85,
S020,Tina Roberts,Las Vegas,NV,88901,English,91,
S021,Uma Stewart,Minneapolis,MN,55401,Chemistry,84,
S022,Vincent Carter,Nashville,TN,37201,Biology,89,
S023,Wendy Rivera,Chicago,IL,60601,Math,92,
S024,Xavier Murphy,Portsmouth,NH,03801,History,86,
S025,Yara Hughes,Anchorage,AK,99501,Physics,74,
S026,Zack Foster,Boise,ID,83701,Chemistry,88,
S027,Abigail Bryant,Baltimore,MD,21201,Biology,90,
S028,Brandon Ross,Des Moines,IA,50301,Math,82,
S029,Chloe Howard,Omaha,NE,68101,Physics,84,
S030,Dylan Ward,Topeka,KS,66601,English,91,
S031,Elena Cox,Bismarck,ND,58501,Chemistry,87,
S032,Fiona Torres,Cheyenne,WY,82001,Biology,79,
S033,Gavin Patterson,Little Rock,AR,72201,History,88,
S034,Hannah Richardson,New Orleans,LA,70112,Math,94,
S035,Ian Watson,Indianapolis,IN,46201,Physics,89,
